Ball,Times Drawn,Percentage Drawn
2,99,2.03
20,98,2.01
31,95,1.95
4,93,1.91
11,93,1.91
17,93,1.91
51,90,1.85
10,88,1.81
29,88,1.81
38,87,1.79
48,87,1.79
3,86,1.77
28,86,1.77
39,86,1.77
35,85,1.74
45,85,1.74
49,84,1.72
41,83,1.7
12,81,1.66
24,81,1.66
53,81,1.66
6,80,1.64
46,80,1.64
18,79,1.62
14,78,1.6
25,78,1.6
27,78,1.6
33,78,1.6
50,78,1.6
1,77,1.58
9,77,1.58
15,77,1.58
16,77,1.58
21,77,1.58
56,77,1.58
30,76,1.56
36,76,1.56
44,76,1.56
5,75,1.54
23,75,1.54
13,74,1.52
34,74,1.52
32,73,1.5
42,73,1.5
8,72,1.48
22,72,1.48
7,71,1.46
26,70,1.44
47,70,1.44
37,69,1.42
54,69,1.42
19,68,1.4
52,68,1.4
40,66,1.35
43,61,1.25
55,55,1.13
58,40,0.82
66,38,0.78
68,37,0.76
70,35,0.72
62,34,0.7
59,33,0.68
57,31,0.64
64,31,0.64
69,31,0.64
60,30,0.62
61,29,0.6
63,28,0.57
65,28,0.57
67,24,0.49
